"","V1","V2","V3"
"1",-0.118621968013857,0.0251026610349199,-0.0513227059156707
"2",-0.119889860458272,0.145585675171884,0.367056017858462
"3",-0.115943825188561,0.0764849779031211,-0.00180721866172809
"4",-0.122609706865824,-0.0702032642073833,0.191124355079434
"5",-0.121087942627137,-0.0854080738776815,0.134995242044937
"6",-0.117596264281513,-0.171166457702048,0.0651988451797998
"7",-0.120841577993671,-0.0117072212417529,0.185747511782326
"8",-0.121016627617522,-0.0146681262348587,-0.127849174644903
"9",-0.120288668536817,0.195565749201251,-0.0913698638605905
"10",-0.119162776337874,-0.0718960435283119,-0.0366089784562209
"11",-0.117849247689146,-0.111416943426226,-0.191318366224398
"12",-0.119511861071944,-0.130406969044183,0.0683100468068144
"13",-0.119533336871437,-0.127340267177273,0.053719924286717
"14",-0.118468499090007,-0.127866687134518,0.0770521789257259
"15",-0.116676803930688,0.0448932585727515,-0.0857775322946381
"16",-0.113833449602413,-0.158574018690823,-0.0454335688524923
"17",-0.118722753364037,-0.00347388486252166,-0.142321032260302
"18",-0.121751848235089,0.152414458078939,0.270798794999083
"19",-0.122598922384338,-0.0330971648954044,0.0936295086372175
"20",-0.114243608457634,-0.122935344469376,-0.1067639463972
"21",-0.121712629795773,0.154301390485303,0.116154875624586
"22",-0.117537657895417,0.0746522589341885,0.062267586545944
"23",-0.119402961255701,0.148323024803123,-0.0474792412768996
"24",-0.12184385265312,-0.0505542669034793,0.107368017646415
"25",-0.121803417915236,0.139519187960022,0.0439446190755506
"26",-0.121468210344468,0.100140390532721,-0.00376551179749594
"27",-0.118284727075495,0.126750582493929,-0.000581630868538853
"28",-0.119465408019323,0.18336196736716,-0.121654941751922
"29",-0.117454744704783,0.0258373597400801,-0.119379632150815
"30",-0.122728110306535,0.0694192986793393,-0.158123424860221
"31",-0.118228161380408,0.142473907194903,-0.00924909768070033
"32",-0.11628057788421,-0.152520752611753,-0.00994756501449483
"33",-0.116279472411766,-0.177308266545189,-0.0804519169068905
"34",-0.11728151186174,-0.138989507589504,-0.00930362280335697
"35",-0.11797531971134,0.176278695582571,-0.208994134069896
"36",-0.121544926575252,-0.0173923592802599,0.108387658161585
"37",-0.120749883295526,0.0709771679362961,-0.188645894377196
"38",-0.116839151036902,-0.138260120595937,-0.0469731006435363
"39",-0.116352212268488,-0.166826526237442,0.00988860484326741
"40",-0.124039054018378,-0.0116084347368571,0.200975936949709
"41",-0.113641571770638,-0.183499664605877,-0.0348777058618905
"42",-0.122167956590133,0.0936852268760853,-0.128464085212044
"43",-0.115520200771641,-0.12433280943078,-0.152278346838061
"44",-0.12116086567043,0.1039318372541,-0.0260468019194283
"45",-0.123251728881758,-0.0152543551308655,0.169140792207686
"46",-0.117347454440575,-0.11189663211632,-0.0582687082190637
"47",-0.115725125224178,-0.169651829966461,0.0549870086262697
"48",-0.120191114065564,0.018213751509366,-0.136474693749127
"49",-0.119427033458332,0.00681178562348053,-0.0772052222255331
"50",-0.120386587115037,0.0516573279131293,0.226297205363723
"51",-0.120306384357795,0.00833372751873845,0.0638901502116148
"52",-0.12177504153377,0.0375690845073473,-0.129333683745013
"53",-0.122640391767376,0.17437405307923,-0.090610064469111
"54",-0.121880382355405,-0.084549573364418,-0.0570439817863753
"55",-0.116950891393645,-0.0191952129729878,-0.0123738708864928
"56",-0.11672505369713,-0.150179150883795,0.0380054838832608
"57",-0.11267119361089,-0.180041615300712,0.0549090773639368
"58",-0.12137210288753,-0.133225327528159,0.193936936812174
"59",-0.12051630866231,-0.0904328138025947,-0.0125148337455621
"60",-0.119472610382559,-0.0953114273165891,-0.0386938609108629
"61",-0.121978656989016,0.128981825498543,-0.0428683446916131
"62",-0.118699282368796,-0.0462061429800382,-0.051985904518726
"63",-0.120151915728316,0.158047539878596,-0.0187616386908242
"64",-0.122581606803297,0.0785068176479171,0.162352337711757
"65",-0.122933523054189,0.106826726096421,0.132243721707491
"66",-0.123887500160952,0.138101799547429,0.0702316351577243
"67",-0.121811505704829,0.183680779025816,-0.0233862714688487
"68",-0.125880742122573,0.25330777206654,-0.0740586974346754
"69",-0.118689821499142,-0.104366664414556,-0.180254050879303
"70",-0.117182597262263,-0.100753505969397,-0.146514748870266
